fuel-type,body-style,num-of-cylinders,engine-size,city-mpg,highway-mpg
gas,convertible,four,130,21,27
gas,convertible,four,130,21,27
gas,hatchback,six,152,19,26
gas,sedan,four,109,24,30
gas,sedan,five,136,18,22
gas,sedan,five,136,19,25
gas,sedan,five,136,19,25
gas,wagon,five,136,19,25
gas,sedan,five,131,17,20
gas,sedan,four,108,23,29
gas,sedan,four,108,23,29
gas,sedan,six,164,21,28
gas,sedan,six,164,21,28
gas,sedan,six,164,20,25
gas,sedan,six,209,16,22
gas,sedan,six,209,16,22
gas,sedan,six,209,15,20
gas,hatchback,four,90,38,43
gas,sedan,four,90,38,43
gas,hatchback,four,90,37,41
gas,hatchback,four,90,31,38
gas,hatchback,four,98,24,30
gas,hatchback,four,90,31,38
gas,sedan,four,90,31,38
gas,sedan,four,90,31,38
gas,sedan,four,98,24,30
gas,wagon,four,122,24,30
gas,hatchback,four,156,19,24
gas,hatchback,four,92,49,54
gas,hatchback,four,92,31,38
gas,hatchback,four,79,38,42
gas,hatchback,four,92,30,34
gas,hatchback,four,92,30,34
gas,sedan,four,92,30,34
gas,wagon,four,92,30,34
gas,hatchback,four,110,27,33
gas,hatchback,four,110,27,33
gas,sedan,four,110,27,33
gas,sedan,four,110,27,33
gas,sedan,four,110,24,28
gas,sedan,four,110,25,31
gas,sedan,four,111,24,29
gas,hatchback,four,119,24,29
gas,sedan,six,258,15,19
gas,sedan,six,258,15,19
gas,hatchback,four,91,30,31
gas,hatchback,four,91,31,38
gas,hatchback,four,91,31,38
gas,sedan,four,91,31,38
gas,sedan,four,91,31,38
gas,hatchback,two,70,17,23
gas,hatchback,two,70,17,23
gas,hatchback,two,70,17,23
gas,hatchback,two,80,16,23
gas,hatchback,four,122,26,32
gas,sedan,four,122,26,32
gas,hatchback,four,122,26,32
gas,sedan,four,122,26,32
diesel,sedan,four,122,36,42
gas,hatchback,four,122,26,32
gas,sedan,four,140,19,27
diesel,sedan,four,134,31,39
diesel,sedan,five,183,22,25
diesel,wagon,five,183,22,25
diesel,hardtop,five,183,22,25
diesel,sedan,five,183,22,25
gas,sedan,eight,234,16,18
gas,convertible,eight,234,16,18
gas,sedan,eight,308,14,16
gas,hardtop,eight,304,14,16
gas,hatchback,four,140,19,24
gas,hatchback,four,92,37,41
gas,hatchback,four,92,31,38
gas,hatchback,four,92,31,38
gas,hatchback,four,98,24,30
gas,hatchback,four,110,23,30
gas,hatchback,four,122,25,32
gas,hatchback,four,156,19,24
gas,hatchback,four,156,19,24
gas,hatchback,four,156,19,24
gas,sedan,four,122,25,32
gas,sedan,four,122,25,32
gas,sedan,four,110,23,30
gas,sedan,four,110,23,30
gas,sedan,four,97,31,37
diesel,sedan,four,103,45,50
gas,sedan,four,97,31,37
gas,sedan,four,97,31,37
gas,wagon,four,97,31,37
gas,sedan,four,97,31,37
gas,hatchback,four,97,31,37
gas,sedan,four,97,31,37
gas,wagon,four,97,31,37
gas,hardtop,four,97,31,37
gas,hatchback,four,120,27,34
gas,sedan,four,120,27,34
gas,sedan,six,181,17,22
gas,wagon,six,181,17,22
gas,sedan,six,181,19,25
gas,hatchback,six,181,19,25
gas,hatchback,six,181,17,23
gas,hatchback,six,181,19,25
gas,sedan,four,120,19,24
diesel,sedan,four,152,28,33
gas,wagon,four,120,19,24
diesel,wagon,four,152,25,25
gas,sedan,four,120,19,24
diesel,sedan,four,152,28,33
gas,wagon,four,120,19,24
diesel,wagon,four,152,25,25
